검색,순번,한자,품사,설명,링크
손,1,,명사, 사람의 팔목 끝에 달린 부분. 손등 손바닥 손목으로 나뉘며 그 끝에 다섯 개의 손가락이 있어 무엇을 만지거나 잡거나 한다.,https://stdict.korean.go.kr//search/searchView.do?word_no=448742&searchKeywordTo=3
손,2,,명사, 다른 곳에서 찾아온 사람.,https://stdict.korean.go.kr//search/searchView.do?word_no=190966&searchKeywordTo=3
손,3,,명사,『민속』 날짜에 따라 방향을 달리하여 따라다니면서 사람의 일을 방해한다는 귀신. 초하루와 이튿날은 동쪽 사흗날과 나흗날은 남쪽 닷샛날과 엿샛날은 서쪽 이렛날과 여드렛날은 북쪽에 있고 9ㆍ10ㆍ19ㆍ20ㆍ29ㆍ30일은 하늘로 올라가기 때문에 손이 없다고 한다. 이사를 하거나 먼 길을 떠날 때는 손 없는 날과 방향을 택한다.,https://stdict.korean.go.kr//search/searchView.do?word_no=190967&searchKeywordTo=3
손,4,,의존 명사, 손아랫사람을 ‘사람’보다는 낮추고 ‘자’보다는 좀 대접하여 이르는 말. 지방에 따라서는 한집안에서 손아랫사람의 택호 아래에 쓰기도 한다.,https://stdict.korean.go.kr//search/searchView.do?word_no=190968&searchKeywordTo=3
손,5,,의존 명사, 한 손에 잡을 만한 분량을 세는 단위. 조기 고등어 배추 따위 한 손은 큰 것 하나와 작은 것 하나를 합한 것을 이르고 미나리나 파 따위 한 손은 한 줌 분량을 이른다.,https://stdict.korean.go.kr//search/searchView.do?word_no=191259&searchKeywordTo=3
손,6,,조사, 양보의 뜻을 나타내는 보조사.,https://stdict.korean.go.kr//search/searchView.do?word_no=448949&searchKeywordTo=3
손,7,(孫),명사, 우리나라 성(姓)의 하나. 본관은 밀양(密陽) 경주(慶州) 안동(安東) 등 20여 본이 현존한다.,https://stdict.korean.go.kr//search/searchView.do?word_no=191857&searchKeywordTo=3
손,8,(孫),명사, 자신의 세대에서 여러 세대가 지난 뒤의 자녀를 통틀어 이르는 말.=후손.,https://stdict.korean.go.kr//search/searchView.do?word_no=191858&searchKeywordTo=3
손,9,(巽),명사,『민속』 팔괘(八卦)의 하나. 상형(象形)은 ‘☴’으로 바람을 상징한다.=손괘.,https://stdict.korean.go.kr//search/searchView.do?word_no=191859&searchKeywordTo=3
손,10,(損),명사, 물질적으로나 정신적으로 밑짐.=손해.,https://stdict.korean.go.kr//search/searchView.do?word_no=191860&searchKeywordTo=3
