검색,순번,한자,품사,설명,링크
등,1,,명사, 사람이나 동물의 몸통에서 가슴과 배의 반대쪽 부분.≒배부.,https://stdict.korean.go.kr//search/searchView.do?word_no=420969&searchKeywordTo=3
등,2,(登/騰),명사,『음악』 양금의 오른쪽 괘 왼쪽 여섯째 줄인 남려(南呂)의 구음(口音).,https://stdict.korean.go.kr//search/searchView.do?word_no=94656&searchKeywordTo=3
등,3,(等),명사, 높고 낮음이나 좋고 나쁨 따위의 차이를 여러 층으로 구분한 단계.=등급.,https://stdict.korean.go.kr//search/searchView.do?word_no=94657&searchKeywordTo=3
등,4,(等),의존 명사, 그 밖에도 같은 종류의 것이 더 있음을 나타내는 말.,https://stdict.korean.go.kr//search/searchView.do?word_no=94658&searchKeywordTo=3
등,5,(豋),명사, 예전에 쓰던 굽이 높은 질그릇.,https://stdict.korean.go.kr//search/searchView.do?word_no=420970&searchKeywordTo=3
등,6,(橙),명사,『식물』 등자(橙子)와 등자나무를 통틀어 이르는 말.,https://stdict.korean.go.kr//search/searchView.do?word_no=94659&searchKeywordTo=3
등,7,(燈),명사, 불을 켜서 어두운 곳을 밝히거나 신호를 보내는 기구.,https://stdict.korean.go.kr//search/searchView.do?word_no=421559&searchKeywordTo=3
등,8,(藤),명사,『식물』 콩과의 낙엽 덩굴성 식물. 줄기는 길이가 10미터 정도이고 마디가 있다. 잎은 겹잎이며 소엽은 길이가 4~8cm이고 달걀 모양의 타원형이다. 여름에 자주색의 잔꽃이 총상(總狀) 화서를 이루며 열매는 협과(莢果)를 맺는다.≒등나무 성등 참등.,https://stdict.korean.go.kr//search/searchView.do?word_no=421728&searchKeywordTo=3
등,9,(籐),명사,『식물』 야자나뭇과 등속 식물을 통틀어 이르는 말. 대나무와 비슷한데 줄기는 200미터까지 뻗으며 마디가 있다. 잎의 길이는 1.5미터 정도이며 잎은 깃 모양으로 끝에 덩굴손이 있어 다른 것을 감는다. 여름에 황록색 잔꽃이 육수(肉穗) 화서로 핀다. 줄기는 윤이 나고 질기며 잘 휘므로 의자나 가구 따위를 만드는 데 쓴다. 열매에서 나오는 수지(樹脂) 즉 기린혈은 알코올음료나 페인트의 착색료로 쓴다. 한국 열대 아시아 호주 북부 대만 동인도 지방에 분포한다.≒등나무.,https://stdict.korean.go.kr//search/searchView.do?word_no=94660&searchKeywordTo=3
등-,10,(等),접사, ‘같은’의 뜻을 더하는 접두사.,https://stdict.korean.go.kr//search/searchView.do?word_no=94661&searchKeywordTo=3
