검색,순번,한자,품사,설명,링크
역사,1,(力士),명사, 뛰어나게 힘이 센 사람.,https://stdict.korean.go.kr//search/searchView.do?word_no=458481&searchKeywordTo=3
역사,2,(役事),명사,『건설』 토목이나 건축 따위의 공사.,https://stdict.korean.go.kr//search/searchView.do?word_no=230121&searchKeywordTo=3
역사,3,(歷史),명사, 인류 사회의 변천과 흥망의 과정. 또는 그 기록.≒사 춘추.,https://stdict.korean.go.kr//search/searchView.do?word_no=458484&searchKeywordTo=3
역사,4,(歷事/歷仕),명사, 여러 대의 임금을 내리 섬김.,https://stdict.korean.go.kr//search/searchView.do?word_no=230139&searchKeywordTo=3
역사,5,(歷辭),명사,『역사』 조선 시대에 새로 임명된 벼슬아치가 감독 관아를 돌아다니며 인사하던 일. 그 벼슬에 임명된 지 10일 이내에 의정부ㆍ전조(銓曹) 등에 인사를 다녔다.=참알.,https://stdict.korean.go.kr//search/searchView.do?word_no=230141&searchKeywordTo=3
역사,6,(繹史),명사,『책명』 중국 청나라 때 마숙(馬驌)이 지은 역사책. 태고로부터 진(秦)나라 말기까지의 고서를 섭렵하여 뽑아낸 사료를 유형별로 모아 논단(論斷)을 붙인 것으로 청나라 때의 경사(經史) 고정학(考訂學)에 많은 영향을 끼쳤다. 160권.,https://stdict.korean.go.kr//search/searchView.do?word_no=230143&searchKeywordTo=3
역사,7,(譯史),명사,『역사』 고려 시대에 중서문하성에 속한 구실아치.,https://stdict.korean.go.kr//search/searchView.do?word_no=458483&searchKeywordTo=3
역사,8,(譯使),명사, 통역을 맡은 사신.,https://stdict.korean.go.kr//search/searchView.do?word_no=230707&searchKeywordTo=3
역사,9,(譯詞),명사, 외국 노래의 가사를 번역하는 일. 또는 그 가사.,https://stdict.korean.go.kr//search/searchView.do?word_no=230708&searchKeywordTo=3
역사,10,(轢死),명사, 차에 치여 죽음.,https://stdict.korean.go.kr//search/searchView.do?word_no=230709&searchKeywordTo=3
